school,position,matches,sets,kills,kills_per_set,errors,total_attacks,hitting_percentage,assists,assists_per_set,service_aces,service_aces_per_set,reception,reception_errors,digs,digs_per_set,block_solo,block_assist,block_total,blocks_per_set,points,points_per_set
Benedictine,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benedictine,MH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blue Mountain,DS,29,96,1,0.01,5,22,-.182,76,0.79,48,0.50,391,17,464,4.83,0,0,0,0.00,49.0,0.5
Blue Mountain,DS,16,22,24,1.09,11,75,.173,1,0.05,9,0.41,41,2,16,0.73,1,4,5,0.23,36.0,1.6
Blue Mountain,RS,6,8,1,0.13,1,2,.000,3,0.38,0,0.00,2,0,3,0.38,0,1,1,0.13,1.5,0.2
Blue Mountain,OH,29,87,195,2.24,103,688,.134,7,0.08,42,0.48,287,14,258,2.97,11,39,50,0.57,267.5,3.1
Blue Mountain,MB,20,39,71,1.82,17,147,.367,1,0.03,0,0.00,2,0,10,0.26,13,18,31,0.79,93.0,2.4
Blue Mountain,DS,30,86,8,0.09,6,35,.057,10,0.12,28,0.33,253,7,177,2.06,1,0,1,0.01,37.0,0.4
Blue Mountain,OH,22,58,126,2.17,55,383,.185,13,0.22,12,0.21,236,8,166,2.86,1,4,5,0.09,141.0,2.4
Blue Mountain,DS,8,10,1,0.10,0,1,1.000,1,0.10,1,0.10,5,0,6,0.60,0,0,0,0.00,2.0,0.2
Blue Mountain,MB,29,79,124,1.57,41,268,.310,3,0.04,0,0.00,3,1,21,0.27,17,50,67,0.85,166.0,2.1
Blue Mountain,S,8,9,1,0.11,0,4,.250,12,1.33,1,0.11,2,0,4,0.44,0,0,0,0.00,2.0,0.2
Blue Mountain,OH,25,59,106,1.80,55,316,.161,4,0.07,12,0.20,151,12,79,1.34,0,7,7,0.12,121.5,2.1
Blue Mountain,MB,28,85,128,1.51,37,333,.273,10,0.12,43,0.51,7,0,67,0.79,9,43,52,0.61,201.5,2.4
Blue Mountain,RS,14,22,35,1.59,24,95,.116,1,0.05,0,0.00,1,0,9,0.41,0,5,5,0.23,37.5,1.7
