school,position,matches,sets,kills,kills_per_set,errors,total_attacks,hitting_percentage,assists,assists_per_set,service_aces,service_aces_per_set,reception,reception_errors,digs,digs_per_set,block_solo,block_assist,block_total,blocks_per_set,points,points_per_set
Cumberlands,MH,30,111,135,1.22,45,379,.237,11,0.10,34,0.31,35,4,68,0.61,11,64,75,0.68,212.0,1.9
Cumberlands,OH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cumberlands,MH,23,86,94,1.09,34,282,.213,7,0.08,0,0.00,11,2,24,0.28,18,55,73,0.85,139.5,1.6
Cumberlands,OH,30,112,448,4.00,135,1461,.214,16,0.14,34,0.30,666,52,346,3.09,8,30,38,0.34,505.0,4.5
Cumberlands,M/ RS,28,104,211,2.03,88,606,.203,14,0.13,14,0.13,17,2,120,1.15,12,52,64,0.62,263.0,2.5
Cumberlands,OH,30,112,392,3.50,94,1062,.281,5,0.04,1,0.01,283,20,95,0.85,3,19,22,0.20,405.5,3.6
Cumberlands,M/ RS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eastern Oregon,OH/RS,28,97,206,2.12,95,699,.159,13,0.13,9,0.09,587,28,271,2.79,6,50,56,0.58,246.0,2.5
Eastern Oregon,DS/L,28,100,1,0.01,5,23,-.174,122,1.22,20,0.20,446,23,470,4.70,0,0,0,0.00,21.0,0.2
Eastern Oregon,S,7,8,0,0.00,0,0,-,18,2.25,1,0.13,0,0,8,1.00,0,0,0,0.00,1.0,0.1
Eastern Oregon,DS/L,22,55,1,0.02,2,7,-.143,7,0.13,13,0.24,100,10,83,1.51,0,0,0,0.00,14.0,0.3
Eastern Oregon,S,28,98,5,0.05,2,15,.200,438,4.47,21,0.21,6,0,149,1.52,0,1,1,0.01,26.5,0.3
Eastern Oregon,OH,10,14,19,1.36,5,65,.215,2,0.14,0,0.00,15,3,8,0.57,0,4,4,0.29,21.0,1.5
Eastern Oregon,MH,28,95,172,1.81,58,401,.284,1,0.01,25,0.26,5,0,56,0.59,11,110,121,1.27,263.0,2.8
Eastern Oregon,DS/L,24,82,0,0.00,0,6,.000,11,0.13,17,0.21,207,12,203,2.48,0,0,0,0.00,17.0,0.2
Eastern Oregon,S,28,100,5,0.05,6,21,-.048,565,5.65,39,0.39,0,0,274,2.74,1,0,1,0.01,45.0,0.5
Eastern Oregon,OH/RS,29,97,139,1.43,85,440,.123,1,0.01,0,0.00,10,0,24,0.25,8,73,81,0.84,183.5,1.9
Eastern Oregon,MH,29,102,237,2.32,72,596,.277,5,0.05,0,0.00,1,0,57,0.56,18,124,142,1.39,317.0,3.1
Eastern Oregon,OH/RS,29,94,195,2.07,54,575,.245,3,0.03,0,0.00,3,1,32,0.34,1,57,58,0.62,224.5,2.4
Eastern Oregon,MH,4,6,16,2.67,5,40,.275,0,0.00,0,0.00,10,3,2,0.33,0,2,2,0.33,17.0,2.8
Eastern Oregon,MH/RH,29,95,266,2.80,114,648,.235,2,0.02,0,0.00,63,6,39,0.41,2,54,56,0.59,295.0,3.1
Eastern Oregon,MH,8,13,19,1.46,10,40,.225,2,0.15,0,0.00,2,0,2,0.15,2,10,12,0.92,26.0,2.0
Eastern Oregon,RH/DS,10,12,19,1.58,8,51,.216,2,0.17,0,0.00,10,1,7,0.58,2,3,5,0.42,22.5,1.9
Eastern Oregon,RH,3,3,0,0.00,1,1,-1.000,0,0.00,0,0.00,2,1,0,0.00,0,0,0,0.00,0.0,0.0
Doane,L/DS,33,124,2,0.02,4,23,-.087,79,0.64,33,0.27,594,44,464,3.74,0,0,0,0.00,35.0,0.3
Doane,S/DS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Doane,L/DS,16,52,3,0.06,0,5,.600,7,0.13,10,0.19,131,14,73,1.40,0,0,0,0.00,13.0,0.3
Doane,S/DS,33,124,149,1.20,68,498,.163,973,7.85,37,0.30,115,3,475,3.83,2,47,49,0.40,211.5,1.7
Doane,MB,33,123,217,1.76,74,616,.232,7,0.06,17,0.14,11,0,80,0.65,18,96,114,0.93,300.0,2.4
Doane,OH,33,122,285,2.34,142,976,.147,2,0.02,8,0.07,376,29,127,1.04,3,32,35,0.29,312.0,2.6
Doane,RS/OH,32,107,130,1.21,78,533,.098,12,0.11,12,0.11,381,30,148,1.38,0,11,11,0.10,147.5,1.4
Doane,L/DS,31,99,1,0.01,3,9,-.222,22,0.22,14,0.14,302,31,172,1.74,0,0,0,0.00,15.0,0.2
Doane,L/DS,3,4,0,0.00,0,0,-,0,0.00,1,0.25,0,0,2,0.50,0,0,0,0.00,1.0,0.3
Doane,RS,33,124,337,2.72,123,962,.222,11,0.09,2,0.02,3,0,86,0.69,4,71,75,0.60,378.5,3.1
Doane,MB/RS,8,18,11,0.61,8,54,.056,0,0.00,0,0.00,1,0,4,0.22,0,14,14,0.78,18.0,1.0
Doane,MB,28,100,144,1.44,69,454,.165,1,0.01,0,0.00,2,0,8,0.08,9,68,77,0.77,187.0,1.9
Doane,S,22,51,2,0.04,0,8,.250,123,2.41,5,0.10,2,1,100,1.96,0,0,0,0.00,7.0,0.1
Doane,L/DS,26,87,0,0.00,2,8,-.250,25,0.29,15,0.17,328,18,201,2.31,0,0,0,0.00,15.0,0.2
Doane,OH,26,68,43,0.63,26,185,.092,11,0.16,5,0.07,226,18,92,1.35,0,8,8,0.12,52.0,0.8
Doane,RS,19,44,48,1.09,30,193,.093,0,0.00,0,0.00,72,8,11,0.25,2,13,15,0.34,56.5,1.3
Doane,OH,17,28,24,0.86,11,70,.186,0,0.00,0,0.00,6,3,2,0.07,0,8,8,0.29,28.0,1.0
Doane,MB,1,1,0,0.00,1,4,-.250,0,0.00,0,0.00,0,0,0,0.00,0,1,1,1.00,0.5,0.5
Doane,S/DS,4,4,0,0.00,0,0,-,9,2.25,0,0.00,0,0,5,1.25,0,0,0,0.00,0.0,0.0
Doane,OH/RS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Doane,MB/RS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Doane,OH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Doane,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Doane,L/DS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Doane,DS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Doane,MB/RS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Doane,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Doane,DS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Doane,DS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Doane,MB/RS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Embry-Riddle,OH,26,92,0,0.00,7,12,-.583,6,0.07,9,0.10,80,10,48,0.52,0,0,0,0.00,9.0,0.1
Embry-Riddle,OH,27,100,12,0.12,7,63,.079,114,1.14,26,0.26,222,16,181,1.81,0,5,5,0.05,40.5,0.4
Embry-Riddle,MB,27,101,157,1.55,88,522,.132,6,0.06,0,0.00,7,1,32,0.32,2,46,48,0.48,182.0,1.8
Embry-Riddle,OH,27,101,279,2.76,139,876,.160,4,0.04,0,0.00,3,0,41,0.41,2,21,23,0.23,291.5,2.9
Embry-Riddle,S,15,31,17,0.55,12,48,.104,0,0.00,0,0.00,1,0,6,0.19,5,19,24,0.77,31.5,1.0
Embry-Riddle,MB/OH,27,101,253,2.50,143,790,.139,22,0.22,43,0.43,618,31,291,2.88,1,22,23,0.23,308.0,3.0
Embry-Riddle,OH/DS,23,86,107,1.24,30,266,.289,789,9.17,26,0.30,3,0,258,3.00,7,51,58,0.67,165.5,1.9
Embry-Riddle,MB,27,101,216,2.14,70,501,.291,8,0.08,13,0.13,6,2,25,0.25,15,75,90,0.89,281.5,2.8
Embry-Riddle,DS/L,27,101,12,0.12,12,58,.000,36,0.36,27,0.27,371,26,239,2.37,1,1,2,0.02,40.5,0.4
Dordt,DS,23,81,1,0.01,0,1,1.000,4,0.05,14,0.17,24,6,65,0.80,0,0,0,0.00,15.0,0.2
Dordt,S,25,91,4,0.04,3,15,.067,342,3.76,23,0.25,37,3,151,1.66,0,0,0,0.00,27.0,0.3
Dordt,DS,23,83,0,0.00,1,15,-.067,49,0.59,15,0.18,403,32,394,4.75,0,0,0,0.00,15.0,0.2
Dordt,MB,20,75,157,2.09,56,403,.251,7,0.09,0,0.00,7,0,25,0.33,12,76,88,1.17,207.0,2.8
Dordt,S,25,90,14,0.16,7,51,.137,462,5.13,28,0.31,2,1,145,1.61,0,0,0,0.00,42.0,0.5
Dordt,DS,18,52,1,0.02,0,1,1.000,2,0.04,3,0.06,154,11,65,1.25,0,0,0,0.00,4.0,0.1
Dordt,DS,25,91,1,0.01,2,8,-.125,13,0.14,20,0.22,289,22,232,2.55,0,0,0,0.00,21.0,0.2
Dordt,MB,16,29,36,1.24,11,78,.321,1,0.03,0,0.00,4,0,4,0.14,0,14,14,0.48,43.0,1.5
Dordt,MB,24,88,176,2.00,36,425,.329,11,0.13,0,0.00,5,1,9,0.10,27,84,111,1.26,245.0,2.8
Dordt,OH,23,84,157,1.87,103,533,.101,10,0.12,0,0.00,231,22,48,0.57,4,35,39,0.46,178.5,2.1
Dordt,MB,17,38,34,0.89,27,149,.047,4,0.11,2,0.05,47,3,13,0.34,1,9,10,0.26,41.5,1.1
Dordt,OH,19,58,102,1.76,83,349,.054,9,0.16,10,0.17,158,13,57,0.98,0,11,11,0.19,117.5,2.0
Dordt,RS,4,5,0,0.00,0,7,.000,0,0.00,0,0.00,0,0,1,0.20,0,1,1,0.20,0.5,0.1
Dordt,MB,4,6,2,0.33,0,5,.400,0,0.00,0,0.00,0,0,1,0.17,0,0,0,0.00,2.0,0.3
Dordt,S,12,27,7,0.26,4,25,.120,56,2.07,4,0.15,0,0,5,0.19,0,10,10,0.37,16.0,0.6
Dordt,RS,21,79,136,1.72,25,414,.268,5,0.06,0,0.00,11,0,37,0.47,4,56,60,0.76,168.0,2.1
Dordt,MB,20,69,96,1.39,35,276,.221,1,0.01,0,0.00,0,0,17,0.25,2,27,29,0.42,111.5,1.6
Dordt,OH,1,3,0,0.00,0,0,-,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0.0,0.0
Evangel,DS,17,31,0,0.00,0,0,-,0,0.00,8,0.26,3,0,11,0.35,0,0,0,0.00,8.0,0.3
Evangel,L,24,66,3,0.05,2,11,.091,21,0.32,13,0.20,230,16,133,2.02,0,0,0,0.00,16.0,0.2
Evangel,DS,20,47,0,0.00,0,4,.000,9,0.19,5,0.11,145,7,51,1.09,0,0,0,0.00,5.0,0.1
Evangel,OH/RS,33,112,242,2.16,117,679,.184,5,0.04,0,0.00,7,0,52,0.46,7,58,65,0.58,278.0,2.5
Evangel,S,33,107,12,0.11,8,44,.091,520,4.86,18,0.17,2,0,165,1.54,0,0,0,0.00,30.0,0.3
Evangel,OH,7,9,3,0.33,2,16,.063,0,0.00,4,0.44,15,5,4,0.44,0,2,2,0.22,8.0,0.9
Evangel,S,33,110,22,0.20,9,62,.210,580,5.27,17,0.15,7,1,135,1.23,0,0,0,0.00,39.0,0.4
Evangel,RS,10,12,3,0.25,7,23,-.174,0,0.00,0,0.00,1,0,1,0.08,0,2,2,0.17,4.0,0.3
Evangel,MB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Evangel,S,25,57,4,0.07,1,13,.231,88,1.54,12,0.21,148,13,130,2.28,0,1,1,0.02,16.5,0.3
Evangel,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Evangel,MB,10,23,12,0.52,11,45,.022,5,0.22,0,0.00,1,0,2,0.09,1,12,13,0.57,19.0,0.8
Evangel,OH/RS,26,87,264,3.03,108,773,.202,58,0.67,22,0.25,625,29,260,2.99,3,38,41,0.47,308.0,3.5
Evangel,OH/RS,18,28,19,0.68,14,67,.075,2,0.07,0,0.00,14,2,13,0.46,0,5,5,0.18,21.5,0.8
Evangel,OH/RS,33,107,224,2.09,82,726,.196,7,0.07,0,0.00,6,0,43,0.40,0,40,40,0.37,244.0,2.3
Evangel,DS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Evangel,OH/RS,30,78,141,1.81,82,417,.141,3,0.04,0,0.00,62,2,36,0.46,7,45,52,0.67,170.5,2.2
Evangel,OH,6,6,2,0.33,2,7,.000,0,0.00,1,0.17,4,1,2,0.33,0,0,0,0.00,3.0,0.5
Evangel,MB,33,108,167,1.55,54,373,.303,4,0.04,35,0.32,12,2,52,0.48,9,74,83,0.77,248.0,2.3
Evangel,RS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Evangel,OH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Evangel,MB,28,85,136,1.60,48,330,.267,1,0.01,0,0.00,8,1,22,0.26,13,102,115,1.35,200.0,2.4
Evangel,OH,34,96,173,1.80,99,477,.155,10,0.10,7,0.07,310,18,159,1.66,1,24,25,0.26,193.0,2.0
Evangel,OH/RS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Evangel,DS,34,117,4,0.03,2,27,.074,34,0.29,11,0.09,573,25,541,4.62,0,0,0,0.00,15.0,0.1
Evangel,MB/RS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Evangel,DS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Evangel,DS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Evangel,MH/RS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Faulkner,MB,31,89,64,0.72,36,257,.109,5,0.06,0,0.00,12,0,25,0.28,9,40,49,0.55,93.0,1.0
Faulkner,OH,34,119,379,3.18,112,1020,.262,30,0.25,48,0.40,529,23,412,3.46,5,27,32,0.27,445.5,3.7
Faulkner,DS,19,33,0,0.00,0,3,.000,2,0.06,3,0.09,43,7,39,1.18,0,0,0,0.00,3.0,0.1
Faulkner,S,34,116,16,0.14,1,50,.300,502,4.33,26,0.22,9,2,235,2.03,0,1,1,0.01,42.5,0.4
Faulkner,S,33,114,40,0.35,7,86,.384,571,5.01,39,0.34,7,2,302,2.65,0,1,1,0.01,79.5,0.7
Faulkner,MB,30,92,118,1.28,39,310,.255,8,0.09,0,0.00,14,1,14,0.15,9,49,58,0.63,151.5,1.6
Faulkner,DS,21,48,1,0.02,1,6,.000,27,0.56,9,0.19,142,11,83,1.73,0,0,0,0.00,10.0,0.2
Faulkner,OH,32,109,134,1.23,69,516,.126,31,0.28,40,0.37,528,38,398,3.65,2,17,19,0.17,184.5,1.7
Faulkner,OH,34,117,233,1.99,113,716,.168,7,0.06,0,0.00,46,4,77,0.66,7,32,39,0.33,256.0,2.2
Faulkner,MB,26,67,79,1.18,34,211,.213,5,0.07,0,0.00,2,1,9,0.13,3,30,33,0.49,97.0,1.4
Faulkner,S,6,10,11,1.10,8,29,.103,13,1.30,1,0.10,0,0,5,0.50,0,0,0,0.00,12.0,1.2
Faulkner,OH,34,121,252,2.08,114,809,.171,43,0.36,29,0.24,439,30,249,2.06,4,40,44,0.36,304.0,2.5
Faulkner,OH,20,65,92,1.42,54,275,.138,8,0.12,8,0.12,61,6,37,0.57,4,33,37,0.57,120.5,1.9
Faulkner,OH,20,47,2,0.04,0,9,.222,7,0.15,5,0.11,35,4,36,0.77,0,1,1,0.02,7.5,0.2
Faulkner,RS,14,22,15,0.68,15,62,.000,0,0.00,0,0.00,5,2,6,0.27,2,5,7,0.32,19.5,0.9
Faulkner,DS,22,63,2,0.03,1,5,.200,52,0.83,19,0.30,208,23,163,2.59,0,0,0,0.00,21.0,0.3
Florida College,OPP,29,94,334,3.55,117,879,.247,21,0.22,32,0.34,364,13,288,3.06,13,36,49,0.52,397.0,4.2
Florida College,S,32,105,80,0.76,17,230,.274,954,9.09,34,0.32,20,1,320,3.05,2,10,12,0.11,121.0,1.2
Florida College,S,15,25,1,0.04,1,4,.000,10,0.40,7,0.28,31,1,25,1.00,0,0,0,0.00,8.0,0.3
Florida College,DS,4,4,0,0.00,0,1,.000,0,0.00,0,0.00,2,0,1,0.25,0,0,0,0.00,0.0,0.0
Florida College,S,12,20,3,0.15,1,10,.200,65,3.25,4,0.20,0,0,17,0.85,0,0,0,0.00,7.0,0.3
Florida College,MB,28,86,84,0.98,26,290,.200,3,0.03,4,0.05,7,1,18,0.21,9,32,41,0.48,113.0,1.3
Florida College,OH,32,105,262,2.50,112,896,.167,54,0.51,51,0.49,332,11,326,3.10,9,11,20,0.19,327.5,3.1
Florida College,OPP,22,50,98,1.96,70,318,.088,6,0.12,5,0.10,2,0,28,0.56,3,4,7,0.14,108.0,2.2
Florida College,MB,8,19,23,1.21,12,79,.139,0,0.00,0,0.00,1,0,8,0.42,1,6,7,0.37,27.0,1.4
Florida College,OH,29,96,233,2.43,135,737,.133,19,0.20,24,0.25,405,23,322,3.35,14,26,40,0.42,284.0,3.0
Florida College,OH,7,9,7,0.78,5,16,.125,2,0.22,0,0.00,7,1,4,0.44,1,1,2,0.22,8.5,0.9
Florida College,DS,32,99,2,0.02,5,27,-.111,54,0.55,32,0.32,499,22,459,4.64,0,1,1,0.01,34.5,0.3
Florida College,DS,13,25,1,0.04,0,3,.333,5,0.20,2,0.08,78,4,55,2.20,0,0,0,0.00,3.0,0.1
Florida College,MB,32,104,156,1.50,72,452,.186,11,0.11,32,0.31,86,3,114,1.10,21,46,67,0.64,232.0,2.2
Florida College,DS,4,4,0,0.00,0,3,.000,0,0.00,0,0.00,1,1,0,0.00,0,0,0,0.00,0.0,0.0
Fisher,LB,29,103,5,0.05,6,57,-.018,74,0.72,59,0.57,689,58,560,5.44,0,0,0,0.00,64.0,0.6
Fisher,OH,33,99,172,1.74,92,535,.150,13,0.13,5,0.05,160,27,116,1.17,2,14,16,0.16,186.0,1.9
Fisher,OH,29,49,17,0.35,12,93,.054,8,0.16,7,0.14,39,5,44,0.90,3,1,4,0.08,27.5,0.6
Fisher,MH,34,116,187,1.61,91,529,.181,15,0.13,51,0.44,18,4,86,0.74,13,21,34,0.29,261.5,2.3
Fisher,OH,34,118,442,3.75,121,1301,.247,27,0.23,49,0.42,335,15,461,3.91,6,17,23,0.19,505.5,4.3
Fisher,S,33,110,176,1.60,96,678,.118,119,1.08,53,0.48,227,31,223,2.03,4,14,18,0.16,240.0,2.2
Fisher,OH,34,118,20,0.17,15,88,.057,12,0.10,47,0.40,413,35,313,2.65,0,0,0,0.00,67.0,0.6
Fisher,LB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fisher,MB,33,107,128,1.20,75,388,.137,7,0.07,1,0.01,5,2,26,0.24,33,31,64,0.60,177.5,1.7
Fisher,S,34,117,36,0.31,16,147,.136,868,7.42,88,0.75,4,2,288,2.46,0,5,5,0.04,126.5,1.1
Fisher,MB,1,1,0,0.00,0,0,-,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0.0,0.0
Fisher,OH,5,6,2,0.33,2,5,.000,0,0.00,1,0.17,0,0,2,0.33,0,0,0,0.00,3.0,0.5
Fisher,MB,6,6,2,0.33,3,14,-.071,0,0.00,0,0.00,1,1,1,0.17,0,0,0,0.00,2.0,0.3
Fisher,MH,32,63,56,0.89,38,202,.089,5,0.08,4,0.06,20,4,32,0.51,0,5,5,0.08,62.5,1.0
Fisk,OH,15,25,21,0.84,26,77,-.065,3,0.12,0,0.00,5,1,9,0.36,0,4,4,0.16,23.0,0.9
Fisk,LB,37,120,10,0.08,6,62,.065,57,0.47,62,0.52,939,52,566,4.72,0,0,0,0.00,72.0,0.6
Fisk,RS,37,109,173,1.59,123,556,.090,9,0.08,3,0.03,67,7,78,0.72,27,63,90,0.83,234.5,2.2
Fisk,LB,11,29,4,0.14,9,41,-.122,2,0.07,3,0.10,45,4,41,1.41,0,0,0,0.00,7.0,0.2
Fisk,S,31,94,151,1.61,82,467,.148,299,3.18,41,0.44,184,9,258,2.74,14,33,47,0.50,222.5,2.4
Fisk,DS,30,70,8,0.11,17,63,-.143,7,0.10,14,0.20,157,12,72,1.03,0,0,0,0.00,22.0,0.3
Fisk,MH,37,114,230,2.02,130,617,.162,4,0.04,8,0.07,20,2,47,0.41,17,39,56,0.49,274.5,2.4
Fisk,DS,37,114,3,0.03,5,34,-.059,9,0.08,44,0.39,396,31,230,2.02,0,0,0,0.00,47.0,0.4
Fisk,MH,10,18,12,0.67,6,27,.222,2,0.11,0,0.00,0,0,4,0.22,0,17,17,0.94,20.5,1.1
Fisk,S,29,91,66,0.73,28,239,.159,694,7.63,20,0.22,20,2,233,2.56,3,14,17,0.19,96.0,1.1
Fisk,MH,22,48,40,0.83,17,109,.211,2,0.04,0,0.00,4,1,3,0.06,8,9,17,0.35,52.5,1.1
Fisk,OH,28,83,207,2.49,121,723,.119,8,0.10,26,0.31,236,21,168,2.02,15,24,39,0.47,260.0,3.1
Fisk,MH,36,96,71,0.74,39,220,.145,19,0.20,27,0.28,59,3,80,0.83,7,25,32,0.33,117.5,1.2
Fisk,MH,12,26,24,0.92,19,92,.054,2,0.08,0,0.00,1,0,7,0.27,4,3,7,0.27,29.5,1.1
Fisk,RS,11,19,12,0.63,15,46,-.065,1,0.05,0,0.00,3,1,3,0.16,0,3,3,0.16,13.5,0.7
Fisk,OH,30,93,229,2.46,114,726,.158,6,0.06,1,0.01,53,3,27,0.29,8,20,28,0.30,248.0,2.7
Evergreen,DS/L,15,27,0,0.00,0,4,.000,4,0.15,1,0.04,23,2,18,0.67,0,0,0,0.00,1.0,0.0
Evergreen,OH,26,99,346,3.49,151,994,.196,32,0.32,27,0.27,397,19,343,3.46,9,20,29,0.29,392.0,4.0
Evergreen,DS/L,25,80,3,0.04,2,18,.056,40,0.50,20,0.25,395,34,213,2.66,0,1,1,0.01,23.5,0.3
Evergreen,S/DS,17,48,2,0.04,2,10,.000,3,0.06,0,0.00,43,3,52,1.08,0,0,0,0.00,2.0,0.0
Evergreen,OPP,26,99,323,3.26,121,844,.239,26,0.26,33,0.33,197,12,120,1.21,14,66,80,0.81,403.0,4.1
Evergreen,DS/L,15,52,0,0.00,6,25,-.240,44,0.85,6,0.12,361,26,186,3.58,0,0,0,0.00,6.0,0.1
Evergreen,MB,26,98,121,1.23,49,340,.212,11,0.11,15,0.15,7,1,57,0.58,24,92,116,1.18,206.0,2.1
Evergreen,OH,25,84,150,1.79,74,424,.179,12,0.14,1,0.01,46,3,45,0.54,5,11,16,0.19,161.5,1.9
Evergreen,OH,15,27,25,0.93,11,82,.171,3,0.11,0,0.00,8,0,8,0.30,1,2,3,0.11,27.0,1.0
Evergreen,S,26,99,76,0.77,16,190,.316,871,8.80,28,0.28,1,1,200,2.02,14,37,51,0.52,136.5,1.4
Evergreen,OH/OPP,11,19,21,1.11,11,66,.152,2,0.11,0,0.00,10,2,8,0.42,0,3,3,0.16,22.5,1.2
Evergreen,OPP,2,3,0,0.00,0,1,.000,0,0.00,0,0.00,0,0,1,0.33,0,0,0,0.00,0.0,0.0
Evergreen,DS/OH,23,78,3,0.04,6,35,-.086,19,0.24,11,0.14,287,14,143,1.83,0,0,0,0.00,14.0,0.2
Evergreen,MB,16,50,39,0.78,16,123,.187,1,0.02,0,0.00,3,2,5,0.10,3,26,29,0.58,55.0,1.1
Evergreen,MB,5,9,2,0.22,2,8,.000,2,0.22,0,0.00,0,0,5,0.56,2,1,3,0.33,4.5,0.5
Evergreen,MB,14,46,29,0.63,23,107,.056,3,0.07,0,0.00,2,0,15,0.33,7,21,28,0.61,46.5,1.0
Florida National,MB,11,28,6,0.21,4,28,.071,1,0.04,2,0.07,2,1,7,0.25,2,3,5,0.18,11.5,0.4
Florida National,MB,18,56,46,0.82,49,185,-.016,5,0.09,1,0.02,10,5,21,0.38,7,16,23,0.41,62.0,1.1
Florida National,MB,18,62,61,0.98,35,195,.133,4,0.06,6,0.10,10,4,27,0.44,20,18,38,0.61,96.0,1.5
Florida National,DS,14,53,3,0.06,4,26,-.038,190,3.58,15,0.28,18,1,87,1.64,0,1,1,0.02,18.5,0.3
Florida National,MB,18,53,34,0.64,33,148,.007,4,0.08,1,0.02,25,5,23,0.43,6,5,11,0.21,43.5,0.8
Florida National,OH,18,63,41,0.65,27,182,.077,141,2.24,15,0.24,34,5,83,1.32,3,3,6,0.10,60.5,1.0
Florida National,DS,18,65,5,0.08,6,44,-.023,33,0.51,8,0.12,395,22,239,3.68,0,0,0,0.00,13.0,0.2
Florida National,MB,18,61,62,1.02,34,189,.148,5,0.08,3,0.05,16,5,23,0.38,11,13,24,0.39,82.5,1.4
Florida National,S,8,25,3,0.12,5,20,-.100,131,5.24,5,0.20,5,2,54,2.16,0,3,3,0.12,9.5,0.4
Florida National,OH,18,63,17,0.27,18,85,-.012,14,0.22,14,0.22,166,15,86,1.37,0,1,1,0.02,31.5,0.5
Florida National,OH,18,62,169,2.73,90,535,.148,6,0.10,16,0.26,313,15,143,2.31,10,15,25,0.40,202.5,3.3
Florida National,OH,14,53,119,2.25,83,460,.078,5,0.09,10,0.19,291,15,170,3.21,11,8,19,0.36,144.0,2.7
Freed-Hardeman,DS,30,107,4,0.04,3,29,.034,15,0.14,30,0.28,361,31,193,1.80,0,0,0,0.00,34.0,0.3
Freed-Hardeman,S,30,111,25,0.23,9,70,.229,458,4.13,59,0.53,6,0,185,1.67,1,0,1,0.01,85.0,0.8
Freed-Hardeman,MB,30,107,95,0.89,31,280,.229,4,0.04,0,0.00,2,1,12,0.11,33,48,81,0.76,152.0,1.4
Freed-Hardeman,MB,30,111,121,1.09,40,357,.227,6,0.05,48,0.43,6,2,62,0.56,22,36,58,0.52,209.0,1.9
Freed-Hardeman,OH,30,111,160,1.44,79,447,.181,14,0.13,0,0.00,5,0,32,0.29,13,24,37,0.33,185.0,1.7
Freed-Hardeman,DS,7,8,0,0.00,0,0,-,0,0.00,2,0.25,7,2,9,1.13,0,0,0,0.00,2.0,0.3
Freed-Hardeman,DS,30,111,8,0.07,18,57,-.175,86,0.77,23,0.21,665,46,403,3.63,0,0,0,0.00,31.0,0.3
Freed-Hardeman,OH/OPP,21,52,53,1.02,27,198,.131,7,0.13,1,0.02,18,4,23,0.44,4,16,20,0.38,66.0,1.3
Freed-Hardeman,S,30,111,11,0.10,5,35,.171,510,4.59,34,0.31,8,0,183,1.65,0,2,2,0.02,46.0,0.4
Freed-Hardeman,MB,25,74,104,1.41,51,283,.187,10,0.14,0,0.00,5,5,25,0.34,5,25,30,0.41,121.5,1.6
Freed-Hardeman,OH/OPP,11,27,39,1.44,24,124,.121,4,0.15,0,0.00,1,0,16,0.59,1,0,1,0.04,40.0,1.5
Freed-Hardeman,MB,6,8,2,0.25,3,9,-.111,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,2.0,0.3
Freed-Hardeman,DS,7,11,0,0.00,1,1,-1.000,1,0.09,4,0.36,27,3,10,0.91,0,0,0,0.00,4.0,0.4
Freed-Hardeman,OH,29,108,272,2.52,133,760,.183,22,0.20,45,0.42,639,48,326,3.02,5,9,14,0.13,326.5,3.0
Freed-Hardeman,OH,30,109,346,3.17,148,952,.208,5,0.05,0,0.00,6,1,73,0.67,8,17,25,0.23,362.5,3.3
